,state_code,states,2020Q2Residents.Confirmed,2020Q3Residents.Confirmed,2020Q4Residents.Confirmed,2021Q1Residents.Confirmed,2020Q2Residents.Deaths,2020Q3Residents.Deaths,2020Q4Residents.Deaths,2021Q1Residents.Deaths,avg capacity,Perc_Budget,inmate_vaccination_quarter2020Q2,inmate_vaccination_quarter2020Q3,inmate_vaccination_quarter2020Q4,inmate_vaccination_quarter2021Q1,inmate_testing_quarter2020Q2,inmate_testing_quarter2020Q3,inmate_testing_quarter2020Q4,inmate_testing_quarter2021Q1,inmate_masking_quarter2020Q2,inmate_masking_quarter2020Q3,inmate_masking_quarter2020Q4,inmate_masking_quarter2021Q1,inmate_releases_quarter2020Q2,inmate_releases_quarter2020Q3,inmate_releases_quarter2020Q4,inmate_releases_quarter2021Q1,inmate_social_distance_quarter2020Q2,inmate_social_distance_quarter2020Q3,inmate_social_distance_quarter2020Q4,inmate_social_distance_quarter2021Q1,inmate_social_distance_sleep_quarter2020Q2,inmate_social_distance_sleep_quarter2020Q3,inmate_social_distance_sleep_quarter2020Q4,inmate_social_distance_sleep_quarter2021Q1,inmate_screening_quarter2020Q2,inmate_screening_quarter2020Q3,inmate_screening_quarter2020Q4,inmate_screening_quarter2021Q1,inmate_quarantine_quarter2020Q2,inmate_quarantine_quarter2020Q3,inmate_quarantine_quarter2020Q4,inmate_quarantine_quarter2021Q1,inmate_visitation_suspended_quarter2020Q2,inmate_visitation_suspended_quarter2020Q3,inmate_visitation_suspended_quarter2020Q4,inmate_visitation_suspended_quarter2021Q1,staff_testing_quarter2020Q2,staff_testing_quarter2020Q3,staff_testing_quarter2020Q4,staff_testing_quarter2021Q1,staff_masking_quarter2020Q2,staff_masking_quarter2020Q3,staff_masking_quarter2020Q4,staff_masking_quarter2021Q1,staff_quarantine_quarter2020Q2,staff_quarantine_quarter2020Q3,staff_quarantine_quarter2020Q4,staff_quarantine_quarter2021Q1
0,AL,Alabama,100.0,327.0,723.0,447.0,10.0,13.0,28.0,10.0,112.6,1.84438527720265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,AK,Alaska,5.0,60.0,1944.0,239.0,0.0,0.0,5.0,0.0,91.65,3.26503822258388,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,AZ,Arizona,529.0,2057.0,4552.0,4384.0,13.0,15.0,8.0,9.0,90.4,2.317528382801,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,AR,Arkansas,2981.0,3441.0,3973.0,488.0,14.0,28.0,5.0,1.0,88.15,1.22767643476041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,CA,California,5853.0,8730.0,25475.0,6175.0,31.0,37.0,60.0,68.0,90.55,2.41476954667546,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,CO,Colorado,631.0,260.0,6229.0,1104.0,3.0,0.0,21.0,4.0,84.15,2.50930398124865,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6,CT,Connecticut,1253.0,215.0,1774.0,840.0,7.0,0.0,6.0,4.0,0.0,1.80703955810282,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DE,Delaware,293.0,276.0,1203.0,173.0,7.0,4.0,1.0,1.0,92.95,2.87814295239693,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,FL,Florida,2541.0,13808.0,1107.0,426.0,27.0,107.0,50.0,17.0,81.2,2.67147354314106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,GA,Georgia,706.0,1122.0,780.0,843.0,21.0,41.0,15.0,7.0,85.25,2.15195423544322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
