,state_code,states,resident_cases_q2_2020,resident_cases_q3_2020,resident_cases_q4_2020,resident_cases_q1_2021,resident_deaths_q2_2020,resident_deaths_q3_2020,resident_deaths_q4_2020,resident_deaths_q1_2021,avg_capacity,perc_budget,inmate_vaccination_quarter2020Q2,inmate_vaccination_quarter2020Q3,inmate_vaccination_quarter2020Q4,inmate_vaccination_quarter2021Q1,inmate_testing_quarter2020Q2,inmate_testing_quarter2020Q3,inmate_testing_quarter2020Q4,inmate_testing_quarter2021Q1,inmate_masking_quarter2020Q2,inmate_masking_quarter2020Q3,inmate_masking_quarter2020Q4,inmate_masking_quarter2021Q1,inmate_releases_quarter2020Q2,inmate_releases_quarter2020Q3,inmate_releases_quarter2020Q4,inmate_releases_quarter2021Q1,inmate_social_distance_quarter2020Q2,inmate_social_distance_quarter2020Q3,inmate_social_distance_quarter2020Q4,inmate_social_distance_quarter2021Q1,inmate_social_distance_sleep_quarter2020Q2,inmate_social_distance_sleep_quarter2020Q3,inmate_social_distance_sleep_quarter2020Q4,inmate_social_distance_sleep_quarter2021Q1,inmate_screening_quarter2020Q2,inmate_screening_quarter2020Q3,inmate_screening_quarter2020Q4,inmate_screening_quarter2021Q1,inmate_quarantine_quarter2020Q2,inmate_quarantine_quarter2020Q3,inmate_quarantine_quarter2020Q4,inmate_quarantine_quarter2021Q1,inmate_visitation_suspended_quarter2020Q2,inmate_visitation_suspended_quarter2020Q3,inmate_visitation_suspended_quarter2020Q4,inmate_visitation_suspended_quarter2021Q1,staff_testing_quarter2020Q2,staff_testing_quarter2020Q3,staff_testing_quarter2020Q4,staff_testing_quarter2021Q1,staff_masking_quarter2020Q2,staff_masking_quarter2020Q3,staff_masking_quarter2020Q4,staff_masking_quarter2021Q1,staff_quarantine_quarter2020Q2,staff_quarantine_quarter2020Q3,staff_quarantine_quarter2020Q4,staff_quarantine_quarter2021Q1
0,AL,Alabama,0.01,0.024,0.028,0.071,0.084,0.121,0.467,0.147,112.6,1.844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,AK,Alaska,0.001,0.004,0.076,0.038,0.0,0.0,0.083,0.0,91.65,3.265,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,AZ,Arizona,0.055,0.149,0.179,0.71,0.109,0.14,0.133,0.132,90.4,2.318,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,AR,Arkansas,0.312,0.249,0.156,0.078,0.118,0.262,0.083,0.015,88.15,1.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,CA,California,0.613,0.632,1.0,1.0,0.261,0.346,1.0,1.0,90.55,2.415,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,CO,Colorado,0.066,0.019,0.244,0.178,0.025,0.0,0.35,0.059,84.15,2.509,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6,CT,Connecticut,0.131,0.016,0.07,0.135,0.059,0.0,0.1,0.059,0.0,1.807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DE,Delaware,0.031,0.02,0.047,0.027,0.059,0.037,0.017,0.015,92.95,2.878,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,FL,Florida,0.266,1.0,0.043,0.068,0.227,1.0,0.833,0.25,81.2,2.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,GA,Georgia,0.074,0.081,0.031,0.136,0.176,0.383,0.25,0.103,85.25,2.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
