,states,state_code,quarter,policy,score
0,Alabama,AL,Q3,inmate_testing,2
4,Alabama,AL,Q3,inmate_screening,13
8,Alabama,AL,Q3,inmate_quarantine,13
12,Alabama,AL,Q3,inmate_visitation_suspended,13
14,Alabama,AL,Q3,staff_masking,13
18,Alabama,AL,Q3,staff_quarantine,13
26,Alaska,AK,Q3,inmate_social_distance_sleep,13
30,Alaska,AK,Q3,inmate_screening,13
34,Alaska,AK,Q3,inmate_visitation_suspended,13
37,Alaska,AK,Q3,staff_masking,10
40,Arizona,AZ,Q3,inmate_testing,13
44,Arizona,AZ,Q3,inmate_visitation_suspended,13
48,Arizona,AZ,Q3,staff_masking,13
51,Arkansas,AR,Q3,inmate_testing,4
53,Arkansas,AR,Q3,inmate_releases,13
57,Arkansas,AR,Q3,inmate_screening,13
61,Arkansas,AR,Q3,inmate_quarantine,13
65,Arkansas,AR,Q3,inmate_visitation_suspended,13
69,Arkansas,AR,Q3,staff_masking,13
74,California,CA,Q3,inmate_masking,13
78,California,CA,Q3,inmate_releases,13
82,California,CA,Q3,inmate_social_distance,13
86,California,CA,Q3,inmate_screening,13
90,California,CA,Q3,inmate_quarantine,13
94,California,CA,Q3,inmate_visitation_suspended,13
97,California,CA,Q3,staff_testing,13
101,California,CA,Q3,staff_masking,13
105,California,CA,Q3,staff_quarantine,13
110,Colorado,CO,Q3,inmate_testing,10
114,Colorado,CO,Q3,inmate_masking,10
118,Colorado,CO,Q3,inmate_releases,4
120,Colorado,CO,Q3,inmate_social_distance,10
123,Colorado,CO,Q3,inmate_quarantine,10
125,Colorado,CO,Q3,inmate_visitation_suspended,10
126,Colorado,CO,Q3,staff_testing,8
128,Colorado,CO,Q3,staff_masking,10
134,Connecticut,CT,Q3,inmate_masking,8
136,Connecticut,CT,Q3,inmate_releases,10
138,Connecticut,CT,Q3,inmate_social_distance,10
140,Connecticut,CT,Q3,inmate_quarantine,10
142,Connecticut,CT,Q3,inmate_visitation_suspended,10
145,Connecticut,CT,Q3,staff_masking,8
146,Delaware,DE,Q3,inmate_testing,12
150,Delaware,DE,Q3,inmate_releases,1
152,Delaware,DE,Q3,inmate_screening,13
156,Delaware,DE,Q3,inmate_quarantine,2
161,Delaware,DE,Q3,staff_masking,13
165,Delaware,DE,Q3,staff_quarantine,1
167,Florida,FL,Q3,inmate_masking,13
173,Florida,FL,Q3,inmate_quarantine,13
177,Florida,FL,Q3,inmate_visitation_suspended,13
180,Florida,FL,Q3,staff_masking,13
184,Florida,FL,Q3,staff_quarantine,13
188,Georgia,GA,Q3,inmate_releases,13
192,Georgia,GA,Q3,inmate_screening,13
196,Georgia,GA,Q3,inmate_visitation_suspended,13
200,Georgia,GA,Q3,staff_quarantine,13
204,Hawaii,HI,Q3,inmate_releases,6
