States,2020Q2Residents.Confirmed,2020Q3Residents.Confirmed,2020Q4Residents.Confirmed,2021Q1Residents.Confirmed,2020Q2Residents.Deaths,2020Q3Residents.Deaths,2020Q4Residents.Deaths,2021Q1Residents.Deaths
Alabama,100.0,327.0,723.0,447.0,10.0,13.0,28.0,10.0
Alaska,5.0,60.0,1944.0,239.0,0.0,0.0,5.0,0.0
Arizona,529.0,2057.0,4552.0,4384.0,13.0,15.0,8.0,9.0
Arkansas,2981.0,3441.0,3973.0,488.0,14.0,28.0,5.0,1.0
California,5853.0,8730.0,25475.0,6175.0,31.0,37.0,60.0,68.0
Colorado,631.0,260.0,6229.0,1104.0,3.0,0.0,21.0,4.0
Connecticut,1253.0,215.0,1774.0,840.0,7.0,0.0,6.0,4.0
Delaware,293.0,276.0,1203.0,173.0,7.0,4.0,1.0,1.0
Florida,2541.0,13808.0,1107.0,426.0,27.0,107.0,50.0,17.0
Georgia,706.0,1122.0,780.0,843.0,21.0,41.0,15.0,7.0
Hawaii,0.0,391.0,1415.0,113.0,0.0,0.0,1.0,8.0
Idaho,168.0,1739.0,1706.0,450.0,0.0,2.0,4.0,0.0
Illinois,200.0,1494.0,6332.0,1528.0,11.0,9.0,43.0,18.0
Indiana,692.0,539.0,1684.0,406.0,20.0,7.0,18.0,4.0
Iowa,155.0,1007.0,2778.0,719.0,1.0,3.0,9.0,5.0
Kansas,898.0,1501.0,2775.0,797.0,4.0,1.0,7.0,3.0
Kentucky,520.0,371.0,3240.0,3013.0,2.0,11.0,21.0,10.0
Louisiana,602.0,1737.0,297.0,496.0,16.0,13.0,2.0,5.0
Maine,4.0,0.0,152.0,13.0,0.0,0.0,1.0,0.0
Maryland,614.0,271.0,2167.0,986.0,8.0,3.0,7.0,7.0
Massachusetts,377.0,32.0,1621.0,499.0,5.0,0.0,4.0,5.0
Michigan,3676.0,1534.0,16260.0,3059.0,61.0,5.0,44.0,18.0
Minnesota,344.0,219.0,3017.0,242.0,2.0,0.0,7.0,3.0
Mississippi,83.0,518.0,675.0,24.0,1.0,0.0,9.0,13.0
Missouri,229.0,1991.0,2771.0,400.0,0.0,0.0,38.0,6.0
Montana,2.0,153.0,968.0,11.0,0.0,0.0,6.0,0.0
Nebraska,8.0,223.0,631.0,106.0,0.0,1.0,5.0,0.0
Nevada,16.0,21.0,4223.0,171.0,0.0,0.0,51.0,4.0
New Hampshire,1.0,0.0,333.0,71.0,0.0,0.0,0.0,2.0
New Jersey,2851.0,151.0,688.0,1064.0,45.0,4.0,0.0,1.0
New Mexico,465.0,97.0,1704.0,658.0,3.0,1.0,19.0,3.0
New York,483.0,230.0,2310.0,2791.0,14.0,1.0,7.0,8.0
North Carolina,1007.0,2206.0,4287.0,2119.0,5.0,11.0,19.0,17.0
North Dakota,7.0,17.0,589.0,19.0,0.0,0.0,1.0,0.0
Ohio,5036.0,1263.0,2251.0,807.0,82.0,18.0,25.0,8.0
Oklahoma,8.0,3620.0,2973.0,530.0,0.0,10.0,28.0,12.0
Oregon,187.0,814.0,1221.0,840.0,1.0,8.0,9.0,16.0
Pennsylvania,274.0,156.0,6314.0,3716.0,9.0,1.0,54.0,61.0
Rhode Island,20.0,16.0,948.0,172.0,0.0,0.0,2.0,0.0
South Carolina,399.0,1797.0,274.0,503.0,5.0,26.0,3.0,5.0
South Dakota,3.0,227.0,2083.0,6.0,0.0,0.0,6.0,1.0
Tennessee,3187.0,2163.0,720.0,272.0,4.0,17.0,10.0,7.0
Texas,9545.0,13154.0,5766.0,3678.0,119.0,92.0,21.0,35.0
Utah,34.0,86.0,2606.0,426.0,0.0,0.0,12.0,1.0
Vermont,15.0,193.0,2.0,214.0,0.0,0.0,0.0,0.0
Virginia,1495.0,2123.0,3585.0,1308.0,11.0,20.0,13.0,8.0
Washington,259.0,216.0,3931.0,1092.0,2.0,0.0,4.0,7.0
West Virginia,126.0,199.0,886.0,271.0,0.0,1.0,4.0,5.0
Wisconsin,279.0,1328.0,8231.0,406.0,0.0,0.0,21.0,3.0
Wyoming,0.0,107.0,452.0,296.0,0.0,0.0,1.0,2.0
