,state_code,quarter,policy,score
2,AK,Q4,inmate_vaccination,2
3,AK,Q1,inmate_vaccination,13
19,CA,Q1,inmate_vaccination,10
23,CO,Q1,inmate_vaccination,12
27,CT,Q1,inmate_vaccination,8
51,ID,Q1,inmate_vaccination,5
55,IL,Q1,inmate_vaccination,6
63,KS,Q1,inmate_vaccination,7
71,LA,Q1,inmate_vaccination,3
75,MA,Q1,inmate_vaccination,10
83,ME,Q1,inmate_vaccination,1
87,MI,Q1,inmate_vaccination,3
91,MN,Q1,inmate_vaccination,12
127,NM,Q1,inmate_vaccination,10
131,NV,Q1,inmate_vaccination,4
143,OK,Q1,inmate_vaccination,3
147,OR,Q1,inmate_vaccination,3
151,PA,Q1,inmate_vaccination,3
155,RI,Q1,inmate_vaccination,2
201,AK,Q4,inmate_testing,8
202,AK,Q1,inmate_testing,13
204,AL,Q3,inmate_testing,2
205,AL,Q4,inmate_testing,13
206,AL,Q1,inmate_testing,2
208,AR,Q3,inmate_testing,4
212,AZ,Q3,inmate_testing,13
213,AZ,Q4,inmate_testing,13
214,AZ,Q1,inmate_testing,13
219,CO,Q2,inmate_testing,10
220,CO,Q3,inmate_testing,10
221,CO,Q4,inmate_testing,13
222,CO,Q1,inmate_testing,13
223,CT,Q2,inmate_testing,6
228,DE,Q3,inmate_testing,12
229,DE,Q4,inmate_testing,13
230,DE,Q1,inmate_testing,13
244,IA,Q3,inmate_testing,13
245,IA,Q4,inmate_testing,13
246,IA,Q1,inmate_testing,13
248,ID,Q3,inmate_testing,13
249,ID,Q4,inmate_testing,13
250,ID,Q1,inmate_testing,13
253,IL,Q4,inmate_testing,4
254,IL,Q1,inmate_testing,13
264,KY,Q3,inmate_testing,11
265,KY,Q4,inmate_testing,13
266,KY,Q1,inmate_testing,13
271,MA,Q2,inmate_testing,4
272,MA,Q3,inmate_testing,13
273,MA,Q4,inmate_testing,8
275,MD,Q2,inmate_testing,1
276,MD,Q3,inmate_testing,13
277,MD,Q4,inmate_testing,13
278,MD,Q1,inmate_testing,13
279,ME,Q2,inmate_testing,9
280,ME,Q3,inmate_testing,13
281,ME,Q4,inmate_testing,13
282,ME,Q1,inmate_testing,13
283,MI,Q2,inmate_testing,13
284,MI,Q3,inmate_testing,13
285,MI,Q4,inmate_testing,13
286,MI,Q1,inmate_testing,13
287,MN,Q2,inmate_testing,6
288,MN,Q3,inmate_testing,13
289,MN,Q4,inmate_testing,13
290,MN,Q1,inmate_testing,13
291,MO,Q2,inmate_testing,5
292,MO,Q3,inmate_testing,6
299,MT,Q2,inmate_testing,5
300,MT,Q3,inmate_testing,13
301,MT,Q4,inmate_testing,13
302,MT,Q1,inmate_testing,2
303,NC,Q2,inmate_testing,11
304,NC,Q3,inmate_testing,13
305,NC,Q4,inmate_testing,5
311,NE,Q2,inmate_testing,2
312,NE,Q3,inmate_testing,13
313,NE,Q4,inmate_testing,13
314,NE,Q1,inmate_testing,2
319,NJ,Q2,inmate_testing,9
320,NJ,Q3,inmate_testing,13
321,NJ,Q4,inmate_testing,13
322,NJ,Q1,inmate_testing,13
327,NV,Q2,inmate_testing,5
328,NV,Q3,inmate_testing,13
329,NV,Q4,inmate_testing,13
330,NV,Q1,inmate_testing,13
335,OH,Q2,inmate_testing,10
336,OH,Q3,inmate_testing,13
337,OH,Q4,inmate_testing,4
340,OK,Q3,inmate_testing,1
341,OK,Q4,inmate_testing,13
342,OK,Q1,inmate_testing,13
363,TN,Q2,inmate_testing,9
364,TN,Q3,inmate_testing,13
365,TN,Q4,inmate_testing,10
366,TX,Q2,inmate_testing,7
367,TX,Q3,inmate_testing,13
368,TX,Q4,inmate_testing,8
374,VA,Q2,inmate_testing,10
375,VA,Q3,inmate_testing,13
376,VA,Q4,inmate_testing,12
378,VT,Q2,inmate_testing,1
380,VT,Q4,inmate_testing,9
382,WA,Q2,inmate_testing,1
383,WA,Q3,inmate_testing,2
386,WI,Q2,inmate_testing,6
387,WI,Q3,inmate_testing,1
390,WV,Q2,inmate_testing,6
391,WV,Q3,inmate_testing,13
392,WV,Q4,inmate_testing,13
393,WV,Q1,inmate_testing,13
395,WY,Q3,inmate_testing,7
414,CA,Q2,inmate_masking,11
415,CA,Q3,inmate_masking,13
416,CA,Q4,inmate_masking,13
417,CA,Q1,inmate_masking,13
418,CO,Q2,inmate_masking,10
419,CO,Q3,inmate_masking,10
420,CO,Q4,inmate_masking,13
421,CO,Q1,inmate_masking,13
422,CT,Q2,inmate_masking,10
423,CT,Q3,inmate_masking,8
430,FL,Q2,inmate_masking,9
431,FL,Q3,inmate_masking,13
432,FL,Q4,inmate_masking,13
433,FL,Q1,inmate_masking,9
443,IA,Q3,inmate_masking,12
444,IA,Q4,inmate_masking,13
445,IA,Q1,inmate_masking,13
447,ID,Q3,inmate_masking,13
448,ID,Q4,inmate_masking,13
449,ID,Q1,inmate_masking,13
450,IL,Q2,inmate_masking,8
451,IL,Q3,inmate_masking,13
452,IL,Q4,inmate_masking,13
453,IL,Q1,inmate_masking,13
459,KS,Q3,inmate_masking,13
460,KS,Q4,inmate_masking,13
461,KS,Q1,inmate_masking,13
462,KY,Q2,inmate_masking,13
463,KY,Q3,inmate_masking,13
464,KY,Q4,inmate_masking,13
465,KY,Q1,inmate_masking,13
475,MD,Q3,inmate_masking,7
476,MD,Q4,inmate_masking,13
477,MD,Q1,inmate_masking,13
482,MI,Q2,inmate_masking,4
483,MI,Q3,inmate_masking,13
484,MI,Q4,inmate_masking,13
485,MI,Q1,inmate_masking,13
486,MN,Q2,inmate_masking,13
487,MN,Q3,inmate_masking,13
488,MN,Q4,inmate_masking,13
489,MN,Q1,inmate_masking,13
491,MO,Q3,inmate_masking,7
492,MO,Q4,inmate_masking,13
493,MO,Q1,inmate_masking,2
510,NE,Q2,inmate_masking,11
511,NE,Q3,inmate_masking,13
512,NE,Q4,inmate_masking,13
513,NE,Q1,inmate_masking,2
522,NM,Q2,inmate_masking,11
523,NM,Q3,inmate_masking,13
524,NM,Q4,inmate_masking,13
525,NM,Q1,inmate_masking,13
529,NV,Q1,inmate_masking,12
535,OH,Q3,inmate_masking,12
536,OH,Q4,inmate_masking,4
543,OR,Q3,inmate_masking,7
544,OR,Q4,inmate_masking,13
573,VA,Q2,inmate_masking,13
574,VA,Q3,inmate_masking,13
575,VA,Q4,inmate_masking,12
577,VT,Q2,inmate_masking,12
578,VT,Q3,inmate_masking,13
579,VT,Q4,inmate_masking,12
581,WA,Q2,inmate_masking,11
582,WA,Q3,inmate_masking,13
583,WA,Q4,inmate_masking,11
585,WI,Q2,inmate_masking,4
586,WI,Q3,inmate_masking,13
587,WI,Q4,inmate_masking,13
588,WI,Q1,inmate_masking,13
589,WV,Q2,inmate_masking,6
590,WV,Q3,inmate_masking,13
591,WV,Q4,inmate_masking,13
592,WV,Q1,inmate_masking,13
605,AR,Q2,inmate_releases,10
606,AR,Q3,inmate_releases,13
607,AR,Q4,inmate_releases,13
608,AR,Q1,inmate_releases,13
613,CA,Q2,inmate_releases,13
614,CA,Q3,inmate_releases,13
615,CA,Q4,inmate_releases,13
616,CA,Q1,inmate_releases,13
617,CO,Q2,inmate_releases,13
618,CO,Q3,inmate_releases,4
621,CT,Q2,inmate_releases,13
622,CT,Q3,inmate_releases,10
625,DE,Q2,inmate_releases,8
626,DE,Q3,inmate_releases,1
633,GA,Q2,inmate_releases,13
634,GA,Q3,inmate_releases,13
635,GA,Q4,inmate_releases,13
636,GA,Q1,inmate_releases,13
637,HI,Q2,inmate_releases,8
638,HI,Q3,inmate_releases,6
639,HI,Q4,inmate_releases,13
640,HI,Q1,inmate_releases,13
641,IA,Q2,inmate_releases,13
642,IA,Q3,inmate_releases,13
643,IA,Q4,inmate_releases,13
644,IA,Q1,inmate_releases,13
649,IL,Q2,inmate_releases,2
650,IL,Q3,inmate_releases,13
651,IL,Q4,inmate_releases,13
652,IL,Q1,inmate_releases,13
669,MA,Q2,inmate_releases,6
670,MA,Q3,inmate_releases,13
671,MA,Q4,inmate_releases,13
672,MA,Q1,inmate_releases,13
673,MD,Q2,inmate_releases,11
674,MD,Q3,inmate_releases,13
675,MD,Q4,inmate_releases,13
676,MD,Q1,inmate_releases,13
681,MI,Q2,inmate_releases,13
682,MI,Q3,inmate_releases,13
683,MI,Q4,inmate_releases,13
684,MI,Q1,inmate_releases,13
685,MN,Q2,inmate_releases,11
686,MN,Q3,inmate_releases,8
697,MT,Q2,inmate_releases,13
698,MT,Q3,inmate_releases,13
699,MT,Q4,inmate_releases,13
700,MT,Q1,inmate_releases,2
701,NC,Q2,inmate_releases,12
702,NC,Q3,inmate_releases,13
703,NC,Q4,inmate_releases,5
705,ND,Q2,inmate_releases,13
706,ND,Q3,inmate_releases,13
707,ND,Q4,inmate_releases,4
717,NJ,Q2,inmate_releases,12
718,NJ,Q3,inmate_releases,13
719,NJ,Q4,inmate_releases,13
720,NJ,Q1,inmate_releases,13
721,NM,Q2,inmate_releases,12
722,NM,Q3,inmate_releases,13
723,NM,Q4,inmate_releases,13
724,NM,Q1,inmate_releases,13
729,NY,Q2,inmate_releases,5
730,NY,Q3,inmate_releases,13
731,NY,Q4,inmate_releases,13
741,OR,Q2,inmate_releases,3
742,OR,Q3,inmate_releases,13
743,OR,Q4,inmate_releases,13
744,OR,Q1,inmate_releases,13
745,PA,Q2,inmate_releases,13
746,PA,Q3,inmate_releases,13
747,PA,Q4,inmate_releases,13
